CampusSisKey,Campus,BuildingSisKey,BuildingName,BuildingCode,RoomSisKey,RoomName,RoomNumber,RoomType,ConfigurationSisKey,ConfigurationName,ConfigurationIsDefault,FacilityLayoutSisKey,FacilityLayoutName,Capacity,FeatureQuantity,RegionName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLC,FLC,FLC_FLARMR,FRCC Larimer,FLARMR,FLC_FLARMR_CP122,CP122,CP122,Lab - Computer,FLC_FLARMR_CP122_Standard,Standard,TRUE,Default,Default,24,Computer(s) - PC;Computer - Instructor;DVD Player;LCD Overhead Projector;Power Point Clicker;Screen;Speakers;White Board,FLC CP;FLC ENG;ENG;Non-Event Requestable;Optimizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLC,FLC,FLC_FLARMR,FRCC Larimer,FLARMR,FLC_FLARMR_CP123,CP123,CP123,Lab - Computer,FLC_FLARMR_CP123_Standard,Standard,TRUE,Default,Default,24,Computer(s) - PC;Computer - Instructor;DVD Player;LCD Overhead Projector;Power Point Clicker;Screen;Speakers;White Board,FLC CP;FLC ENG;ENG;Non-Event Requestable;Optimizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLC,FLC,FLC_FLARMR,FRCC Larimer,FLARMR,FLC_FLARMR_CP124,CP124,CP124,Classroom - General Purpose Lecture,FLC_FLARMR_CP124_Standard,Standard,TRUE,Default,Default,26,Computer - Instructor;DVD Player;LCD Overhead Projector;Power Point Clicker;Screen;Phone - Star;Smart Board;Speakers;White Board,FLC CP;FLC SOC;SOC;Optimizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLC,FLC,FLC_FLARMR,FRCC Larimer,FLARMR,FLC_FLARMR_CP125,CP125,CP125,Classroom - General Purpose Lecture,FLC_FLARMR_CP125_Standard,Standard,TRUE,Default,Default,25,Computer - Instructor;DVD Player;LCD Overhead Projector;Power Point Clicker;Screen;Phone - Star;Smart Board;Speakers;White Board,FLC CP COM;COM;Optimizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLC,FLC,FLC_FLARMR,FRCC Larimer,FLARMR,FLC_FLARMR_CP126,CP126,CP126,Classroom - General Purpose Lecture,FLC_FLARMR_CP126_Standard,Standard,TRUE,Default,Default,30,Computer - Instructor;DVD Player;LCD Overhead Projector;Power Point Clicker;Screen;Phone - Star;Smart Board;Speakers;White Board,FLC CP;FLC HIS;HIS;Optimizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLC,FLC,FLC_FLARMR,FRCC Larimer,FLARMR,FLC_FLARMR_CP127,CP127,CP127,Classroom - General Purpose Lecture,FLC_FLARMR_CP127_Standard,Standard,TRUE,Default,Default,35,Computer - Instructor;DVD Player;LCD Overhead Projector;Power Point Clicker;Screen;Phone - Star;Smart Board;Speakers;White Board,FLC CP;FLC MAT;MAT;Optimizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLC,FLC,FLC_FLARMR,FRCC Larimer,FLARMR,FLC_FLARMR_CP128,CP128,CP128,Classroom - General Purpose Lecture,FLC_FLARMR_CP128_Standard,Standard,TRUE,Default,Default,35,Computer - Instructor;DVD Player;LCD Overhead Projector;Power Point Clicker;Screen;Phone - Star;Smart Board;Speakers;White Board,FLC CP;FLC MAT;MAT;Optimizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLC,FLC,FLC_FLARMR,FRCC Larimer,FLARMR,FLC_FLARMR_CP129,CP129,CP129,Classroom - General Purpose Lecture,FLC_FLARMR_CP129_Standard,Standard,TRUE,Default,Default,35,Computer - Instructor;DVD Player;LCD Overhead Projector;Power Point Clicker;Screen;Phone - Star;Smart Board;Speakers;White Board,FLC CP;FLC MAT;MAT;Optimizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLC,FLC,FLC_FLARMR,FRCC Larimer,FLARMR,FLC_FLARMR_CP221,CP221,CP221,Classroom - General Purpose Lecture,FLC_FLARMR_CP221_Standard,Standard,TRUE,Default,Default,24,Computer - Instructor;DVD Player;LCD Overhead Projector;Power Point Clicker;Screen;Phone - Star;Smart Board;Speakers;White Board,FLC CP;Optimizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLC,FLC,FLC_FLARMR,FRCC Larimer,FLARMR,FLC_FLARMR_CP223,CP223,CP223,Classroom - General Purpose Lecture,FLC_FLARMR_CP223_Standard,Standard,TRUE,Default,Default,24,Computer - Instructor;DVD Player;LCD Overhead Projector;Power Point Clicker;Screen;Phone - Star;Smart Board;Speakers;White Board,FLC CP;FLC MAT;MAT;Optimizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLC,FLC,FLC_FLARMR,FRCC Larimer,FLARMR,FLC_FLARMR_CP224,CP224,CP224,Classroom - General Purpose Lecture,FLC_FLARMR_CP224_Standard,Standard,TRUE,Default,Default,24,Computer - Instructor;DVD Player;LCD Overhead Projector;Power Point Clicker;Screen;Phone - Star;Smart Board;Speakers;White Board,FLC CP;FLC MAT;MAT;Optimizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLC,FLC,FLC_FLARMR,FRCC Larimer,FLARMR,FLC_FLARMR_CP225,CP225,CP225,Lab - Computer,FLC_FLARMR_CP225_Standard,Standard,TRUE,Default,Default,24,Computer(s) - PC; Computer - Instructor;DVD Player;LCD Overhead Projector;Power Point Clicker;Screen;Speakers;White Board,FLC CP;FLC HIS;HIS;Non-Event Requestable;Optimizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
